Postcode;Plaatsnaam;Provincie
2970;'S Gravenwezel;Antwerpen
3700;'S Herenelderen;Limburg
7510;3 SUISSES;
9420;Aaigem;Oost-Vlaanderen 
8511;Aalbeke;West-Vlaanderen
3800;Aalst;Limburg
9300;AALST;Oost-Vlaanderen 
9880;AALTER;Oost-Vlaanderen 
3200;AARSCHOT;Vlaams-Brabant
8700;Aarsele;West-Vlaanderen
8211;Aartrijke;West-Vlaanderen
2630;AARTSELAAR;Antwerpen
4557;Abée;Luik
4280;Abolens;Luik
3930;Achel;Limburg
5590;Achêne;Namen
5362;Achet;Namen
4219;Acosse;Luik
6280;Acoz;Henegouwen
9991;Adegem;Oost-Vlaanderen 
8660;Adinkerke;West-Vlaanderen
1790;AFFLIGEM;Vlaams-Brabant
9051;Afsnee;Oost-Vlaanderen 
5544;Agimont;Namen
4317;Aineffe;Luik
5310;Aische-En-Refail;Namen
6250;Aiseau;Henegouwen
5070;Aisemont;Namen
3570;ALKEN;Limburg
5550;Alle;Namen
4432;Alleur;Luik
1652;Alsemberg;Vlaams-Brabant
8690;ALVERINGEM;West-Vlaanderen
4540;AMAY;Luik
6680;Amberloup;Luxemburg
4770;AMBLÈVE;Luik
6953;Ambly;Luxemburg
4219;Ambresin;Luik
6997;Amonines;Luxemburg
7750;Amougies;Henegouwen
4540;Ampsin;Luik
5300;ANDENNE;Namen
1070;ANDERLECHT;Brussel (19 gemeenten)
6150;ANDERLUES;Henegouwen
4821;Andrimont;Luik
4031;Angleur;Luik
7387;Angre;Henegouwen
7387;Angreau;Henegouwen
5537;ANHÉE;Namen
6721;Anlier;Luxemburg
6890;Anloy;Luxemburg
5537;Annevoie-Rouillon;Namen
4430;ANS;Luik
5500;Anseremme;Namen
7750;Anseroeul;Henegouwen
5520;Anthée;Namen
4520;Antheit;Luik
4160;ANTHISNES;Luik
7640;ANTOING;Henegouwen
2000;ANTWERPEN;Antwerpen
2018;ANTWERPEN;Antwerpen
2020;ANTWERPEN;Antwerpen
2030;ANTWERPEN;Antwerpen
2040;ANTWERPEN;Antwerpen
2050;ANTWERPEN;Antwerpen
2060;ANTWERPEN;Antwerpen
2099;Antwerpen X;
7910;Anvaing;Henegouwen
8570;ANZEGEM;West-Vlaanderen
9200;Appels;Oost-Vlaanderen 
9400;Appelterre-Eichem;Oost-Vlaanderen 
5170;Arbre;Namen
7811;Arbre;Henegouwen
4990;Arbrefontaine;Luik
7910;Arc-Ainières;Henegouwen
7910;Arc-Wattripont;Henegouwen
1390;Archennes;Waals-Brabant
8850;ARDOOIE;West-Vlaanderen
2370;ARENDONK;Antwerpen
4601;Argenteau;Luik
6700;ARLON;Luxemburg
7181;Arquennes;Henegouwen
5060;Arsimont;Namen
6870;Arville;Luxemburg
3665;AS;Limburg
9404;Aspelare;Oost-Vlaanderen 
9890;Asper;Oost-Vlaanderen 
7040;Asquillies;Henegouwen
1730;ASSE;Vlaams-Brabant
8310;Assebroek;West-Vlaanderen
1007;Assemblée de la Commission Communautaire Française;
9960;ASSENEDE;Oost-Vlaanderen 
6860;Assenois;Luxemburg
3460;Assent;Vlaams-Brabant
5330;ASSESSE;Namen
9800;Astene;Oost-Vlaanderen 
7800;ATH;Henegouwen
7387;Athis;Henegouwen
6791;Athus;Luxemburg
3404;Attenhoven;Vlaams-Brabant
3384;Attenrode;Vlaams-Brabant
6717;ATTERT;Luxemburg
7941;Attre;Henegouwen
6790;AUBANGE;Luxemburg
7972;Aubechies;Henegouwen
4880;AUBEL;Luik
5660;Aublain;Namen
6880;Auby-Sur-Semois;Luxemburg
7382;Audregnies;Henegouwen
7040;Aulnois;Henegouwen
6706;Autelbas;Luxemburg
1367;Autre-Eglise;Waals-Brabant
7387;Autreppe;Henegouwen
5060;Auvelais;Namen
5580;Ave-Et-Auffe;Namen
8630;Avekapelle;West-Vlaanderen
8580;AVELGEM;West-Vlaanderen
4260;Avennes;Luik
3271;Averbode;Vlaams-Brabant
4280;Avernas-Le-Bauduin;Luik
4280;Avin;Luik
4340;AWANS;Luik
6870;Awenne;Luxemburg
4400;Awirs;Luik
6900;Aye;Luxemburg
4630;Ayeneux;Luik
4920;AYWAILLE;Luik
9890;Baaigem;Oost-Vlaanderen 
3128;Baal;Vlaams-Brabant
9310;Baardegem;Oost-Vlaanderen 
2387;BAARLE-HERTOG;Antwerpen
9200;Baasrode;Oost-Vlaanderen 
9800;Bachte-Maria-Leerne;Oost-Vlaanderen 
4837;BAELEN;Luik
5550;Bagimont;Namen
6464;Baileux;Henegouwen
6460;Bailièvre;Henegouwen
5555;Baillamont;Namen
7730;Bailleul;Henegouwen
5377;Baillonville;Namen
7380;Baisieux;Henegouwen
1470;Baisy-Thy;Waals-Brabant
5190;Balâtre;Namen
9860;Balegem;Oost-Vlaanderen 
2490;BALEN;Antwerpen
9420;Bambrugge;Oost-Vlaanderen 
6951;Bande;Luxemburg
6500;Barbençon;Henegouwen
4671;Barchon;Luik
5570;Baronville;Namen
7534;Barry;Henegouwen
5370;Barvaux-Condroz;Namen
6940;Barvaux-Sur-Ourthe;Luxemburg
4520;Bas-Oha;Luik
7971;Basècles;Henegouwen
4983;Basse-Bodeux;Luik
4690;BASSENGE;Luik
9968;Bassevelde;Oost-Vlaanderen 
7830;Bassilly;Henegouwen
6600;BASTOGNE;Luxemburg
3870;Batsheers;Limburg
4651;Battice;Luik
7130;Battignies;Henegouwen
7331;Baudour;Henegouwen
7870;Bauffe;Henegouwen
7604;Baugnies;Henegouwen
1401;Baulers;Waals-Brabant
9520;Bavegem;Oost-Vlaanderen 
8531;Bavikhove;West-Vlaanderen
9150;Bazel;Oost-Vlaanderen 
4052;Beaufays;Luik
6500;BEAUMONT;Henegouwen
5570;BEAURAING;Namen
6980;Beausaint;Luxemburg
1320;BEAUVECHAIN;Waals-Brabant
6594;Beauwelz;Henegouwen
7532;Beclers;Henegouwen
3960;Beek;Limburg
9630;Beerlegem;Oost-Vlaanderen 
8730;BEERNEM;West-Vlaanderen
2340;BEERSE;Antwerpen
1650;BEERSEL;Vlaams-Brabant
8600;Beerst;West-Vlaanderen
1673;Beert;Vlaams-Brabant
9080;Beervelde;Oost-Vlaanderen 
2580;Beerzel;Antwerpen
5000;Beez;Namen
6987;Beffe;Luxemburg
3130;BEGIJNENDIJK;Vlaams-Brabant
6672;Beho;Luxemburg
1852;Beigem;Vlaams-Brabant
8480;Bekegem;West-Vlaanderen
1730;Bekkerzeel;Vlaams-Brabant
3460;BEKKEVOORT;Vlaams-Brabant
1009;Belgische Senaat;
5001;Belgrade;Namen
4610;Bellaire;Luik
7170;Bellecourt;Henegouwen
5555;Bellefontaine;Namen
6730;Bellefontaine;Luxemburg
8510;Bellegem;West-Vlaanderen
9881;Bellem;Oost-Vlaanderen 
6834;Bellevaux;Luxemburg
4960;Bellevaux-Ligneuville;Luik
1674;Bellingen;Vlaams-Brabant
7970;BELOEIL;Henegouwen
9111;Belsele;Oost-Vlaanderen 
4500;Ben-Ahin;Luik
6941;Bende;Luxemburg
3540;Berbroek;Limburg
2600;Berchem;Antwerpen
9690;Berchem;Oost-Vlaanderen 
2040;Berendrecht;Antwerpen
1910;Berg;Vlaams-Brabant
3700;Berg;Limburg
4360;Bergilers;Luik
3580;BERINGEN;Limburg
2590;BERLAAR;Antwerpen
9290;BERLARE;Oost-Vlaanderen 
3830;Berlingen;Limburg
4257;BERLOZ;Luik
4607;Berneau;Luik
7320;BERNISSART;Henegouwen
6560;Bersillies-L'Abbaye;Henegouwen
3060;BERTEM;Vlaams-Brabant
6687;BERTOGNE;Luxemburg
4280;Bertrée;Luik
6880;BERTRIX;Luxemburg
5651;Berzée;Namen
8980;Beselare;West-Vlaanderen
3130;Betekom;Vlaams-Brabant
4300;Bettincourt;Luik
5030;Beuzet;Namen
2560;Bevel;Antwerpen
1547;BEVER;Vlaams-Brabant
4960;Bevercé;Luik
9700;Bevere;Oost-Vlaanderen 
8791;Beveren;West-Vlaanderen
8800;Beveren;West-Vlaanderen
8691;Beveren-Aan-De-Ijzer;West-Vlaanderen
9120;BEVEREN-WAAS;Oost-Vlaanderen 
3581;Beverlo;Limburg
3740;Beverst;Limburg
4610;BEYNE-HEUSAY;Luik
6543;Bienne-Lez-Happart;Henegouwen
3360;BIERBEEK;Vlaams-Brabant
6533;Biercée;Henegouwen
1301;Bierges;Waals-Brabant
1430;Bierghes;Waals-Brabant
4460;Bierset;Luik
5380;Bierwart;Namen
5640;Biesme;Namen
6531;Biesme-Sous-Thuin;Henegouwen
5640;Biesmerée;Namen
5555;BIÈVRE;Namen
1390;Biez;Waals-Brabant
6690;Bihain;Luxemburg
8920;Bikschote;West-Vlaanderen
4831;Bilstain;Luik
3740;BILZEN;Limburg
7130;BINCHE;Henegouwen
3850;Binderveld;Limburg
3211;Binkom;Vlaams-Brabant
5537;Bioul;Namen
8501;Bissegem;West-Vlaanderen
7783;Bizet;Henegouwen
2830;Blaasveld;Antwerpen
5542;Blaimont;Namen
7522;Blandain;Henegouwen
3052;Blanden;Vlaams-Brabant
8370;BLANKENBERGE;West-Vlaanderen
7040;Blaregnies;Henegouwen
7321;Blaton;Henegouwen
7370;Blaugies;Henegouwen
4670;BLÉGNY;Luik
7620;Bléharies;Henegouwen
4280;Blehen;Luik
6760;Bleid;Luxemburg
4300;Bleret;Luik
7903;Blicquy;Henegouwen
3950;BOCHOLT;Limburg
4537;Bodegnée;Luik
2530;BOECHOUT;Antwerpen
3890;Boekhout;Limburg
9961;Boekhoute;Oost-Vlaanderen 
4250;Boëlhe;Luik
8904;Boezinge;West-Vlaanderen
1670;Bogaarden;Vlaams-Brabant
5550;Bohan;Namen
5140;Boignée;Namen
4690;Boirs;Luik
7170;Bois-D'Haine;Henegouwen
7866;Bois-De-Lessines;Henegouwen
5170;Bois-De-Villers;Namen
4560;Bois-Et-Borsu;Luik
5310;Bolinne;Namen
4653;Bolland;Luik
1367;Bomal;Waals-Brabant
6941;Bomal-Sur-Ourthe;Luxemburg
4607;Bombaye;Luik
3840;Bommershoven;Limburg
7603;Bon-Secours;Henegouwen
4100;Boncelles;Luik
5310;Boneffe;Namen
2820;BONHEIDEN;Antwerpen
5021;Boninne;Namen
1325;Bonlez;Waals-Brabant
6700;Bonnert;Luxemburg
5300;Bonneville;Namen
5377;Bonsin;Namen
2221;Booischot;Antwerpen
8630;Booitshoeke;West-Vlaanderen
2850;BOOM;Antwerpen
3631;Boorsem;Limburg
3190;BOORTMEERBEEK;Vlaams-Brabant
1761;Borchtlombeek;Vlaams-Brabant
2140;Borgerhout;Antwerpen
3840;BORGLOON;Limburg
4317;Borlez;Luik
3891;Borlo;Limburg
6941;Borlon;Luxemburg
2880;BORNEM;Antwerpen
1404;Bornival;Waals-Brabant
2150;BORSBEEK;Antwerpen
9552;Borsbeke;Oost-Vlaanderen 
5032;Bossière;Namen
8583;Bossuit;West-Vlaanderen
1390;Bossut-Gottechain;Waals-Brabant
3300;Bost;Vlaams-Brabant
5032;Bothey;Namen
9820;Bottelare;Oost-Vlaanderen 
6200;Bouffioulx;Henegouwen
5004;Bouge;Namen
7040;Bougnies;Henegouwen
6830;BOUILLON;Luxemburg
6464;Bourlers;Henegouwen
5575;Bourseigne-Neuve;Namen
5575;Bourseigne-Vieille;Namen
7110;Boussoit;Henegouwen
7300;BOUSSU;Henegouwen
5660;Boussu-En-Fagne;Namen
6440;Boussu-Lez-Walcourt;Henegouwen
1470;Bousval;Waals-Brabant
3370;BOUTERSEM;Vlaams-Brabant
5500;Bouvignes-Sur-Meuse;Namen
7803;Bouvignies;Henegouwen
2288;Bouwel;Antwerpen
8680;Bovekerke;West-Vlaanderen
3870;Bovelingen;Limburg
4300;Bovenistier;Luik
5081;Bovesse;Namen
6671;Bovigny;Luxemburg
4990;Bra;Luik
7604;Braffe;Henegouwen
5590;Braibant;Namen
1420;BRAINE-L'ALLEUD;Waals-Brabant
1440;BRAINE-LE-CHÂTEAU;Waals-Brabant
7090;BRAINE-LE-COMTE;Henegouwen
4260;BRAIVES;Luik
9660;BRAKEL;Oost-Vlaanderen 
5310;Branchon;Namen
6800;Bras;Luxemburg
7604;Brasmenil;Henegouwen
2930;BRASSCHAAT;Antwerpen
7130;Bray;Henegouwen
2960;BRECHT;Antwerpen
8450;BREDENE;West-Vlaanderen
3960;BREE;Limburg
2870;Breendonk;Antwerpen
4020;Bressoux;Luik
8900;Brielen;West-Vlaanderen
2520;Broechem;Antwerpen
3840;Broekom;Limburg
1931;Brucargo;
7940;BRUGELETTE;Henegouwen
8000;BRUGGE;West-Vlaanderen
5660;Brûly;Namen
5660;Brûly-De-Pesche;Namen
1785;Brussegem;Vlaams-Brabant
1000;BRUSSEL;Brussel (19 gemeenten)
1099;Brussel X;
3800;Brustem;Limburg
7641;Bruyelle;Henegouwen
6222;Brye;Henegouwen
3440;Budingen;Vlaams-Brabant
9255;BUGGENHOUT;Oost-Vlaanderen 
7911;Buissenal;Henegouwen
5580;Buissonville;Namen
